"game_player_location","game_player_date","game_player_duration","game_player_team","game_player_player","game_player_agent","game_player_tier","game_player_kda","game_player_attackKills","game_player_attackDeaths","game_player_attackAssists","game_player_attackKD","game_player_attackDamage","game_player_defenseKills","game_player_defenseDeaths","game_player_defenseAssists","game_player_defenseKD","game_player_weapon_type","game_player_weapon_name","game_player_weapon_kills","game_player_weapon_damage"
"Bind","10/06/20, 5:39 PM","36m 15s","Team 1","Spike Spiegel","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/reyna_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/0.png","22 / 16 / 4","10","7","1","1.4","2462","13","9","3","1.4","Assault Rifles","Vandal","15","3916"
"Bind","10/06/20, 5:39 PM","36m 15s","Team 1","Spike Spiegel","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/reyna_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/0.png","22 / 16 / 4","10","7","1","1.4","2462","13","9","3","1.4","SMGs","Spectre","2","400"
"Bind","10/06/20, 5:39 PM","36m 15s","Team 1","Spike Spiegel","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/reyna_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/0.png","22 / 16 / 4","10","7","1","1.4","2462","13","9","3","1.4","Sniper Rifles","Marshal","2","379"
"Bind","10/06/20, 5:39 PM","36m 15s","Team 1","Spike Spiegel","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/reyna_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/0.png","22 / 16 / 4","10","7","1","1.4","2462","13","9","3","1.4","Sidearms","Classic","2","294"
"Bind","10/06/20, 5:39 PM","36m 15s","Team 1","Spike Spiegel","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/reyna_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/0.png","22 / 16 / 4","10","7","1","1.4","2462","13","9","3","1.4","Sidearms","Ghost","1","135"
"Bind","10/06/20, 5:39 PM","36m 15s","Team 1","shehroz303","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/omen_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/7.png","22 / 14 / 4","11","8","3","1.4","1324","11","6","1","1.8","Assault Rifles","Vandal","14","2339"
"Bind","10/06/20, 5:39 PM","36m 15s","Team 1","shehroz303","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/omen_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/7.png","22 / 14 / 4","11","8","3","1.4","1324","11","6","1","1.8","Sidearms","Ghost","4","464"
"Bind","10/06/20, 5:39 PM","36m 15s","Team 1","shehroz303","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/omen_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/7.png","22 / 14 / 4","11","8","3","1.4","1324","11","6","1","1.8","SMGs","Spectre","2","286"
"Bind","10/06/20, 5:39 PM","36m 15s","Team 1","shehroz303","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/omen_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/7.png","22 / 14 / 4","11","8","3","1.4","1324","11","6","1","1.8","Assault Rifles","Phantom","1","179"
"Bind","10/06/20, 5:39 PM","36m 15s","Team 1","shehroz303","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/omen_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/7.png","22 / 14 / 4","11","8","3","1.4","1324","11","6","1","1.8","Shotguns","Judge","1","153"
