"game_player_location","game_player_date","game_player_duration","game_player_team","game_player_player","game_player_agent","game_player_tier","game_player_kda","game_player_attackKills","game_player_attackDeaths","game_player_attackAssists","game_player_attackKD","game_player_attackDamage","game_player_defenseKills","game_player_defenseDeaths","game_player_defenseAssists","game_player_defenseKD","game_player_weapon_type","game_player_weapon_name","game_player_weapon_kills","game_player_weapon_damage"
"Haven","10/05/20, 11:54 PM","26m 33s","Team 1","Kairo","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/raze_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/3.png","23 / 8 / 4","8","1","0","8.0","1105","15","7","4","2.1","Assault Rifles","Vandal","11","1941"
"Haven","10/05/20, 11:54 PM","26m 33s","Team 1","Kairo","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/raze_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/3.png","23 / 8 / 4","8","1","0","8.0","1105","15","7","4","2.1","Sniper Rifles","Operator","2","424"
"Haven","10/05/20, 11:54 PM","26m 33s","Team 1","Kairo","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/raze_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/3.png","23 / 8 / 4","8","1","0","8.0","1105","15","7","4","2.1","SMGs","Stinger","2","285"
"Haven","10/05/20, 11:54 PM","26m 33s","Team 1","Kairo","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/raze_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/3.png","23 / 8 / 4","8","1","0","8.0","1105","15","7","4","2.1","Sidearms","Ghost","1","195"
"Haven","10/05/20, 11:54 PM","26m 33s","Team 1","Kairo","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/raze_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/3.png","23 / 8 / 4","8","1","0","8.0","1105","15","7","4","2.1","Shotguns","Judge","1","149"
"Haven","10/05/20, 11:54 PM","26m 33s","Team 1","Kairo","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/raze_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/3.png","23 / 8 / 4","8","1","0","8.0","1105","15","7","4","2.1","Sidearms","Classic","1","104"
"Haven","10/05/20, 11:54 PM","26m 33s","Team 1","odinabuser","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/phoenix_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/5.png","22 / 7 / 2","3","2","0","1.5","135","19","5","2","3.8","Assault Rifles","Phantom","18","2991"
"Haven","10/05/20, 11:54 PM","26m 33s","Team 1","odinabuser","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/phoenix_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/5.png","22 / 7 / 2","3","2","0","1.5","135","19","5","2","3.8","SMGs","Spectre","2","234"
"Haven","10/05/20, 11:54 PM","26m 33s","Team 1","odinabuser","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/phoenix_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/5.png","22 / 7 / 2","3","2","0","1.5","135","19","5","2","3.8","Heavy Weapons","Odin","1","173"
"Haven","10/05/20, 11:54 PM","26m 33s","Team 1","odinabuser","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/phoenix_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/5.png","22 / 7 / 2","3","2","0","1.5","135","19","5","2","3.8","SMGs","Stinger","1","135"
