"game_player_location","game_player_date","game_player_duration","game_player_team","game_player_player","game_player_agent","game_player_tier","game_player_kda","game_player_attackKills","game_player_attackDeaths","game_player_attackAssists","game_player_attackKD","game_player_attackDamage","game_player_defenseKills","game_player_defenseDeaths","game_player_defenseAssists","game_player_defenseKD","game_player_weapon_type","game_player_weapon_name","game_player_weapon_kills","game_player_weapon_damage"
"Split","09/14/20, 1:09 AM","36m 38s","Team 1","Tierz","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/jett_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/12.png","23 / 9 / 2","9","2","0","4.5","1104","14","7","2","2.0","Sniper Rifles","Operator","14","2360"
"Split","09/14/20, 1:09 AM","36m 38s","Team 1","Tierz","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/jett_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/12.png","23 / 9 / 2","9","2","0","4.5","1104","14","7","2","2.0","Assault Rifles","Vandal","2","400"
"Split","09/14/20, 1:09 AM","36m 38s","Team 1","Tierz","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/jett_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/12.png","23 / 9 / 2","9","2","0","4.5","1104","14","7","2","2.0","Sidearms","Ghost","3","378"
"Split","09/14/20, 1:09 AM","36m 38s","Team 1","Tierz","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/jett_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/12.png","23 / 9 / 2","9","2","0","4.5","1104","14","7","2","2.0","Sidearms","Classic","1","104"
"Split","09/14/20, 1:09 AM","36m 38s","Team 1","CommanderKrazy","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/raze_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/11.png","16 / 12 / 9","3","4","3","0.8","659","13","8","6","1.6","SMGs","Stinger","5","812"
"Split","09/14/20, 1:09 AM","36m 38s","Team 1","CommanderKrazy","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/raze_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/11.png","16 / 12 / 9","3","4","3","0.8","659","13","8","6","1.6","Assault Rifles","Phantom","3","606"
"Split","09/14/20, 1:09 AM","36m 38s","Team 1","CommanderKrazy","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/raze_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/11.png","16 / 12 / 9","3","4","3","0.8","659","13","8","6","1.6","SMGs","Spectre","3","484"
"Split","09/14/20, 1:09 AM","36m 38s","Team 1","CommanderKrazy","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/raze_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/11.png","16 / 12 / 9","3","4","3","0.8","659","13","8","6","1.6","Sidearms","Shorty","1","127"
"Split","09/14/20, 1:09 AM","36m 38s","Team 1","Kisame","https://titles.trackercdn.com/valorant-pak/media/03b769d630ea38cf542e3424ad0384efd0c21601.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/12.png","13 / 8 / 6","3","2","2","1.5","310","10","6","4","1.7","Assault Rifles","Vandal","6","1082"
"Split","09/14/20, 1:09 AM","36m 38s","Team 1","Kisame","https://titles.trackercdn.com/valorant-pak/media/03b769d630ea38cf542e3424ad0384efd0c21601.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/12.png","13 / 8 / 6","3","2","2","1.5","310","10","6","4","1.7","Sidearms","Classic","2","246"
