"game_player_location","game_player_date","game_player_duration","game_player_team","game_player_player","game_player_agent","game_player_tier","game_player_kda","game_player_attackKills","game_player_attackDeaths","game_player_attackAssists","game_player_attackKD","game_player_attackDamage","game_player_defenseKills","game_player_defenseDeaths","game_player_defenseAssists","game_player_defenseKD","game_player_weapon_type","game_player_weapon_name","game_player_weapon_kills","game_player_weapon_damage"
"Ascent","10/06/20, 3:16 PM","34m 43s","Team 1","qxtswz","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/reyna_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/10.png","30 / 12 / 5","10","3","2","3.3","1380","20","9","3","2.2","Assault Rifles","Vandal","20","3359"
"Ascent","10/06/20, 3:16 PM","34m 43s","Team 1","qxtswz","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/reyna_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/10.png","30 / 12 / 5","10","3","2","3.3","1380","20","9","3","2.2","Sniper Rifles","Operator","5","931"
"Ascent","10/06/20, 3:16 PM","34m 43s","Team 1","qxtswz","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/reyna_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/10.png","30 / 12 / 5","10","3","2","3.3","1380","20","9","3","2.2","Sidearms","Ghost","5","689"
"Ascent","10/06/20, 3:16 PM","34m 43s","Team 1","100PingAllowIt","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/phoenix_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/9.png","30 / 13 / 2","14","6","1","2.3","1430","16","7","1","2.3","Assault Rifles","Vandal","21","3247"
"Ascent","10/06/20, 3:16 PM","34m 43s","Team 1","100PingAllowIt","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/phoenix_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/9.png","30 / 13 / 2","14","6","1","2.3","1430","16","7","1","2.3","Assault Rifles","Phantom","3","703"
"Ascent","10/06/20, 3:16 PM","34m 43s","Team 1","100PingAllowIt","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/phoenix_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/9.png","30 / 13 / 2","14","6","1","2.3","1430","16","7","1","2.3","Sidearms","Ghost","3","446"
"Ascent","10/06/20, 3:16 PM","34m 43s","Team 1","100PingAllowIt","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/phoenix_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/9.png","30 / 13 / 2","14","6","1","2.3","1430","16","7","1","2.3","Assault Rifles","Bulldog","2","406"
"Ascent","10/06/20, 3:16 PM","34m 43s","Team 1","100PingAllowIt","https://trackercdn.com/cdn/tracker.gg/valorant/db/agents/phoenix_thumb.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/9.png","30 / 13 / 2","14","6","1","2.3","1430","16","7","1","2.3","SMGs","Stinger","1","132"
"Ascent","10/06/20, 3:16 PM","34m 43s","Team 1","TheRainbowOtter","https://titles.trackercdn.com/valorant-pak/media/03b769d630ea38cf542e3424ad0384efd0c21601.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/9.png","13 / 14 / 3","8","6","1","1.3","991","5","8","2","0.6","Assault Rifles","Phantom","7","1157"
"Ascent","10/06/20, 3:16 PM","34m 43s","Team 1","TheRainbowOtter","https://titles.trackercdn.com/valorant-pak/media/03b769d630ea38cf542e3424ad0384efd0c21601.png","https://trackercdn.com/cdn/tracker.gg/valorant/icons/tiers/9.png","13 / 14 / 3","8","6","1","1.3","991","5","8","2","0.6","Heavy Weapons","Ares","4","626"
